operacion;estado;t_ini;t_fin;puerto_maquina;busqueda;tipo_busqueda;cant_resultados;tamano_respuesta_bytes;edad;ranking;database
busqueda en db;success;2025-05-10 20:40:36.054987;2025-05-10 20:40:36.054987;8003;fantasia;tipo_doc;;;35;15.015;fantasia
busqueda en db;success;2025-05-10 20:40:36.054987;2025-05-10 20:40:36.054987;8003;fantasia;tipo_doc;;;35;13.943;fantasia
busqueda en db;success;2025-05-10 20:40:36.054987;2025-05-10 20:40:36.054987;8003;fantasia;tipo_doc;;;35;15.73;fantasia
busqueda en db;success;2025-05-10 20:40:36.055985;2025-05-10 20:40:36.055985;8003;fantasia;tipo_doc;;;35;17.16;fantasia
busqueda en db;success;2025-05-10 20:40:36.056992;2025-05-10 20:40:36.056992;8003;fantasia;tipo_doc;;;35;14.657;fantasia
busqueda en db;success;2025-05-10 20:40:36.056992;2025-05-10 20:40:36.056992;8003;fantasia;tipo_doc;;;35;13.585;fantasia
busqueda en db;success;2025-05-10 20:40:36.057989;2025-05-10 20:40:36.057989;8003;fantasia;tipo_doc;;;35;15.373;fantasia
busqueda en db;success;2025-05-10 20:40:36.057989;2025-05-10 20:40:36.057989;8003;fantasia;tipo_doc;;;35;12.87;fantasia
mandar_resultados_a_master;success;2025-05-10 20:40:36.053471;2025-05-10 20:40:36.058989;8003;fantasia;tipo_doc;10;88;35;;
disconect_from_master;success;2025-05-10 20:40:44.090461;2025-05-10 20:40:44.096724;8003;;;;;;;
conection_to_master;success;2025-05-11 17:25:21.598348;2025-05-11 17:25:21.667932;8004;;;;;;;
mandar_resultados_a_master;success;2025-05-11 17:26:27.783747;2025-05-11 17:26:27.816668;8004;busqueda test;titulo;0;56;23;;
mandar_resultados_a_master;success;2025-05-11 17:27:31.716170;2025-05-11 17:27:31.717249;8004;trasnformaciones interestelasres del viento como enigma;titulo;0;56;32;;
busqueda en db;success;2025-05-11 17:28:30.811837;2025-05-11 17:28:30.811837;8004;blockchain entre cartas del legado cultural de nikola tesla;titulo;;;43;3.65;fantasia
busqueda en db;success;2025-05-11 17:28:30.812832;2025-05-11 17:28:30.812832;8004;blockchain entre cartas del legado cultural de nikola tesla;titulo;;;43;3.65;fantasia
busqueda en db;success;2025-05-11 17:28:30.813835;2025-05-11 17:28:30.813835;8004;blockchain entre cartas del legado cultural de nikola tesla;titulo;;;43;3.835;historia
mandar_resultados_a_master;success;2025-05-11 17:28:30.811837;2025-05-11 17:28:30.814833;8004;blockchain entre cartas del legado cultural de nikola tesla;titulo;3;88;43;;
mandar_resultados_a_master;success;2025-05-11 17:30:12.842049;2025-05-11 17:30:12.844044;8004;redescubre tu proposito;titulo;0;56;57;;
disconect_from_master;success;2025-05-11 17:31:02.970638;2025-05-11 17:31:02.975650;8004;;;;;;;
conection_to_master;success;2025-05-11 17:25:37.722068;2025-05-11 17:25:37.763954;8005;;;;;;;
mandar_resultados_a_master;success;2025-05-11 17:26:28.258001;2025-05-11 17:26:28.278889;8005;busqueda test;titulo;0;56;23;;
busqueda en db;success;2025-05-11 17:27:32.123158;2025-05-11 17:27:32.123158;8005;trasnformaciones interestelasres del viento como enigma;titulo;;;32;4.49;misterio
mandar_resultados_a_master;success;2025-05-11 17:27:32.123158;2025-05-11 17:27:32.124096;8005;trasnformaciones interestelasres del viento como enigma;titulo;1;88;32;;
